"eid","afid","affil","city","country","n_collab_unis","collab_unis","address","latitude","longitude"
"2-s2.0-85151422015","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85129057480","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85129057480","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85085093985","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85085093985","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85149789883","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85149789883","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85147544135","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85147544135","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85131805375","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85131805375","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85149931774","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85149931774","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85146421179","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85146421179","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85148749967","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85148749967","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85192493847","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85192493847","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85191154505","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85191154505","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85190658451","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85190658451","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-85185460847","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85185460847","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-85180153036","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-85180153036","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
